site,lat,lng,is_datacenter,note,nearest_transmission_line_voltage_kv,nearest_transmission_line_voltage_kv__status,max_transmission_line_voltage_kv_within_radius,max_transmission_line_voltage_kv_within_radius__status,nearest_transmission_line_voltage_class,nearest_transmission_line_voltage_class__status,nearest_substation_distance_m,nearest_substation_distance_m__status,nearest_osm_substation_distance_m,nearest_osm_substation_distance_m__status,nearest_osm_substation_max_voltage_kv,nearest_osm_substation_max_voltage_kv__status,nearest_urban_area_rtt_floor_ms,nearest_urban_area_rtt_floor_ms__status,nearest_urban_area_distance_m,nearest_urban_area_distance_m__status,egrid_co2_output_rate_kg_per_mwh,egrid_co2_output_rate_kg_per_mwh__status,tax_incentive_stack,tax_incentive_stack__status,in_opportunity_zone,in_opportunity_zone__status,fiber_broadband_available,fiber_broadband_available__status,fiber_provider_count,fiber_provider_count__status,nearest_long_haul_rail_corridor_distance_m,nearest_long_haul_rail_corridor_distance_m__status,slope_degrees,slope_degrees__status,design_wet_bulb_temperature_0_4pct_degc,design_wet_bulb_temperature_0_4pct_degc__status,days_above_32c_annual_count,days_above_32c_annual_count__status,within_water_service_area,within_water_service_area__status,surface_water_supply_use_index_huc12,surface_water_supply_use_index_huc12__status,avg_retail_electricity_price_industrial_usd_per_kwh,avg_retail_electricity_price_industrial_usd_per_kwh__status,nearest_major_road_distance_m,nearest_major_road_distance_m__status,intersects_protected_area,intersects_protected_area__status,protected_area_gap_status,protected_area_gap_status__status,protected_area_name,protected_area_name__status,within_floodplain_polygon,within_floodplain_polygon__status,intersects_wetland,intersects_wetland__status,in_air_quality_nonattainment,in_air_quality_nonattainment__status,near_epa_repowering_site,near_epa_repowering_site__status,nearest_repowering_site_distance_m,nearest_repowering_site_distance_m__status,nearest_brownfield_distance_m,nearest_brownfield_distance_m__status,nearest_power_plant_distance_m,nearest_power_plant_distance_m__status,nearest_power_plant_primary_fuel,nearest_power_plant_primary_fuel__status,nearest_power_plant_capacity_mw,nearest_power_plant_capacity_mw__status,housing_units_density_per_km2,housing_units_density_per_km2__status,land_use_class,land_use_class__status,tree_canopy_pct,tree_canopy_pct__status,prime_farmland_classification,prime_farmland_classification__status,intersects_critical_habitat,intersects_critical_habitat__status,btm_gas_candidacy_flag,btm_gas_candidacy_flag__status,nearest_gas_pipeline_distance_m,nearest_gas_pipeline_distance_m__status,modeled_onsite_gas_generation_cost_usd_per_mwh,modeled_onsite_gas_generation_cost_usd_per_mwh__status,wildfire_annual_frequency,wildfire_annual_frequency__status,nearest_class_i_area_distance_m,nearest_class_i_area_distance_m__status,nearest_class_i_area_name,nearest_class_i_area_name__status,in_air_quality_maintenance,in_air_quality_maintenance__status,landslide_susceptibility_index,landslide_susceptibility_index__status,seismic_design_category,seismic_design_category__status,in_karst_area,in_karst_area__status,karst_exposure_class,karst_exposure_class__status,interconnection_queue_active_capacity_county_mw,interconnection_queue_active_capacity_county_mw__status,cmp_power,cmp_interconnect,cmp_terrain,cmp_cooling,cmp_water,cmp_cost,cmp_access,cmp_legacy,cmp_isolation,cmp_low_disturbance,cmp_btm_fuel,cmp_latency,cmp_carbon,cmp_incentives,cmp_clear,cmp_fire_siting,score_data_center_optionality,score_bess_optionality,score_buildability,score_energy_park_optionality
Dallas TX,32.7767,-96.797,1,ERCOT; major interconnect,138.0,ok,138.0,ok,100-161,ok,1412.6,ok,1320.1,ok,138.0,ok,0.0,ok,0.0,ok,332.874,ok,"opportunity_zone,brownfield_repowering_screened",ok,True,ok,True,ok,10,ok,553.6281462678313,ok,0.6168630719184875,ok,27.0,ok,99,ok,True,ok,0.21314284558358543,ok,0.0633,ok,88.55616619996287,ok,False,ok,,absent,,absent,False,ok,False,ok,True,ok,True,ok,57.71609330699818,ok,226.6,ok,7013.2,ok,natural gas,ok,1.6,ok,1998.3660432398503,ok,Developed,ok,3.0,ok,not_prime,ok,False,ok,True,ok,5788.1,ok,28.58,ok,1.603603372979604e-05,ok,277204.47996001545,ok,Wichita Mountains,ok,False,ok,3,ok,B,ok,False,ok,,absent,1030.1499999999999,ok,0.8,1.0,1.0,0.182,0.9,0.9,1.0,1.0,0.148,1.0,0.938,1.0,0.75,0.91,0.8,1.0,0.5745,0.6466,0.7875,0.5157
Phoenix-Mesa AZ,33.4152,-111.8315,1,Hot; large cluster despite cooling cost,69.0,ok,69.0,ok,UNDER 100,ok,792.6,ok,,failed,,failed,0.0,ok,0.0,ok,319.194,ok,"opportunity_zone,brownfield_repowering_screened",ok,True,ok,True,ok,7,ok,748.5698030119622,ok,0.25732070207595825,ok,23.8,ok,171,ok,True,ok,0.24283740978883722,ok,0.0723,ok,0.20989835465521003,ok,False,ok,,absent,,absent,False,ok,False,ok,True,ok,True,ok,635.970812776481,ok,451.1,ok,6235.5,ok,batteries,ok,90.0,ok,683.9545296549492,ok,Developed,ok,0.0,ok,prime_if_conditions_met,ok,False,ok,True,ok,3523.1,ok,24.46,ok,0.0,ok,33899.83832727544,ok,Superstition Wilderness,ok,True,ok,0,ok,B,ok,False,ok,,absent,32157.9111,ok,0.45,1.0,1.0,0.325,0.9,0.9,1.0,1.0,0.148,1.0,0.9884,1.0,0.75,0.91,0.8,1.0,0.4259,0.3407,0.7875,0.3722
Santa Clara CA,37.3541,-121.9552,1,Silicon Valley; high power cost,60.0,ok,115.0,ok,UNDER 100,ok,1296.6,ok,,failed,,failed,0.0,ok,0.0,ok,194.348,ok,brownfield_repowering_screened,ok,False,ok,True,ok,2,ok,737.0136071423523,ok,1.6618133783340454,ok,19.6,ok,22,ok,True,ok,0.45782871090898053,ok,0.1987,ok,182.69341981257324,ok,False,ok,,absent,,absent,False,ok,False,ok,True,ok,True,ok,3.310750377779091,ok,3218.5,ok,1326.4,ok,petroleum,ok,99.6,ok,1549.8027037143095,ok,Developed,ok,6.0,ok,not_prime,ok,False,ok,True,ok,4005.0,ok,115.06,ok,9.999999747379e-06,ok,93082.06246442033,ok,Point Reyes NS/Phillip Burton Wilderness,ok,True,ok,0,ok,D,ok,False,ok,,absent,1339.688,ok,0.8,0.87,1.0,0.69,0.7,0.45,1.0,0.956,0.148,1.0,0.7332,1.0,0.9,0.73,0.8,1.0,0.6108,0.5595,0.6935,0.4544
Elk Grove Village IL,42.0064,-87.9706,1,Chicago metro,138.0,ok,345.0,ok,100-161,ok,1284.2,ok,,failed,,failed,0.0,ok,0.0,ok,413.415,ok,,failed,False,ok,True,ok,2,ok,2909.103827692069,ok,1.4482665061950684,ok,25.9,ok,14,ok,True,ok,0.1302994144204124,ok,0.0974,ok,908.8351518291488,ok,False,ok,,absent,,absent,False,ok,False,ok,True,ok,,failed,,failed,,absent,7073.4,ok,natural gas,ok,3.6,ok,187.1938326223483,ok,Developed,ok,1.0,ok,not_prime,ok,False,ok,True,ok,321.2,ok,79.06,ok,3.0458564249262137e-05,ok,,absent,,absent,True,ok,0,ok,B,ok,True,ok,buried_under_thick_glacial_cover,ok,435.0,ok,1.0,0.8629,1.0,0.2576,0.9,0.7,1.0,0.7208,0.333,1.0,1.0,1.0,0.55,0.55,0.8,1.0,0.617,0.7172,0.6965,0.5518
Atlanta GA,33.749,-84.388,1,Southeast hub,230.0,ok,230.0,ok,220-287,ok,997.9,ok,928.1,ok,230.0,ok,0.0,ok,0.0,ok,382.074,ok,brownfield_repowering_screened,ok,False,ok,True,ok,2,ok,245.65077536120722,ok,0.9900774955749512,ok,25.3,ok,40,ok,True,ok,0.14166972462448163,ok,0.0684,ok,48.18491056895205,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,True,ok,299.681647023728,ok,328.8,ok,484.2,ok,petroleum,ok,1.3,ok,1117.070507697647,ok,Developed,ok,1.0,ok,not_prime,ok,False,ok,True,ok,6122.3,ok,50.94,ok,0.0,ok,122355.54096827943,ok,Cohutta Wilderness,ok,True,ok,50,ok,B,ok,False,ok,,absent,300.0,ok,1.0,0.87,1.0,0.2576,0.9,0.9,1.0,1.0,0.148,1.0,0.9306,1.0,0.75,0.73,1.0,1.0,0.81,0.964,0.9402,0.6767
Yellowstone backcountry WY,44.428,-110.5885,0,Protected; no grid - negative example,115.0,ok,115.0,ok,100-161,ok,2626.1,ok,2620.0,ok,69.0,ok,,absent,,absent,286.55,ok,,ok,False,ok,,absent,,absent,,absent,32.236515045166016,ok,14.0,ok,0,ok,False,ok,0.06290744348122786,ok,0.0875,ok,356.4122213115965,ok,True,ok,1,ok,Yellowstone National Park,ok,False,ok,False,ok,False,ok,False,ok,48370.27631375226,ok,,absent,1854.4,ok,petroleum,ok,2.7,ok,0.011223529893980367,ok,Forest,ok,46.0,ok,not_prime,ok,False,ok,,absent,,absent,38.75,ok,0.004672185478978484,ok,0.0,ok,Yellowstone NP,ok,False,ok,81,ok,D,ok,False,ok,,absent,,absent,0.8,0.4,0.2,1.0,0.55,0.7,1.0,0.805,1.0,0.189,0.45,0.5,0.75,0.55,0.03,0.765,0.0161,0.0143,0.0082,0.0103
Mojave desert CA,35.011,-116.07,0,Remote; no fiber - negative example,500.0,ok,500.0,ok,500,ok,,absent,,absent,,absent,0.582,ok,59393.28609408232,ok,194.348,ok,,ok,False,ok,,absent,,absent,3698.612781428148,ok,2.1573548316955566,ok,22.7,ok,163,ok,False,ok,0.24360132824675412,ok,0.1987,ok,,absent,True,ok,2,ok,Mojave Trails National Monument,ok,False,ok,False,ok,True,ok,False,ok,24642.96300582325,ok,,absent,,absent,,absent,,absent,0.0,ok,Rangeland or Pasture,ok,0.0,ok,,absent,False,ok,,absent,,absent,115.06,ok,0.000816379851726704,ok,98733.65560351705,ok,Joshua Tree Wilderness,ok,False,ok,4,ok,D,ok,False,ok,,absent,19451.479312,ok,0.15,0.3939,1.0,0.325,0.495,0.45,0.2,0.35,1.0,0.7,0.3375,0.92,0.9,0.55,0.16,1.0,0.0464,0.0305,0.0812,0.0504
Adirondack forest NY,44.1126,-73.9226,0,Protected forest - negative example,,absent,,absent,,absent,,absent,17844.4,ok,,absent,0.16,ok,16367.703924557327,ok,109.81,ok,,ok,False,ok,,absent,,absent,12670.653818834178,ok,25.797039031982422,ok,19.4,ok,0,ok,False,ok,,absent,0.0862,ok,,absent,True,ok,1,ok,High Peaks Wilderness,ok,,absent,False,ok,False,ok,False,ok,19442.69798909958,ok,,absent,26276.1,ok,petroleum,ok,4.0,ok,0.4754987686017361,ok,Forest,ok,60.0,ok,not_prime,ok,False,ok,,absent,,absent,143.0,ok,0.00015450710980990733,ok,127680.85001066781,ok,Lye Brook Wilderness,ok,False,ok,81,ok,B,ok,False,ok,,absent,70.0,ok,0.03,0.3619,0.2,0.75,0.55,0.7,0.2,0.3686,0.94,0.189,0.225,1.0,0.9,0.55,0.03,0.85,0.0055,0.0021,0.0055,0.0047
Everglades FL,25.7617,-80.9,0,Wetland - negative example,,absent,,absent,,absent,,absent,,absent,,absent,0.422,ok,43079.8504117574,ok,354.828,ok,,ok,False,ok,,absent,,absent,47890.741593487364,ok,0.8728770613670349,ok,27.0,ok,144,ok,False,ok,0.16486374514692861,ok,0.0923,ok,,absent,True,ok,2,ok,Papahanaumokuakea Marine National Monument,ok,True,ok,True,ok,False,ok,False,ok,15825.923131090702,ok,,absent,42356.4,ok,solar,ok,74.5,ok,0.02277032001726537,ok,Rangeland or Pasture,ok,21.0,ok,not_prime,ok,False,ok,,absent,,absent,78.14,ok,0.033460429060848715,ok,4294.544271299062,ok,Everglades NP,ok,False,ok,0,ok,A,ok,True,ok,exposed,ok,,absent,0.03,0.3,1.0,0.182,0.495,0.7,0.2,0.4891,1.0,0.4165,0.45,1.0,0.75,0.55,0.028,0.7,0.005,0.0028,0.0112,0.005
Rocky Mountain slope CO,39.6333,-106.525,0,Steep terrain - negative example,34.5,ok,115.0,ok,UNDER 100,ok,1550.0,ok,1479.0,ok,115.0,ok,0.0,ok,0.0,ok,470.194,ok,opportunity_zone,ok,True,ok,True,ok,1,ok,26663.05176723811,ok,1.214170217514038,ok,14.1,ok,0,ok,True,ok,0.12251465512870967,ok,0.094,ok,161.60889995169833,ok,False,ok,,absent,,absent,False,ok,False,ok,False,ok,False,ok,3681.556604136021,ok,,absent,31851.6,ok,hydroelectric,ok,26.0,ok,200.83043127824098,ok,Developed,ok,22.0,ok,not_prime,ok,False,ok,,absent,,absent,65.23,ok,8.001082888480635e-05,ok,10123.221178519218,ok,Eagles Nest Wilderness,ok,False,ok,54,ok,B,ok,True,ok,exposed,ok,,absent,0.8,0.6238,1.0,1.0,0.9,0.7,1.0,0.8939,0.148,0.85,0.45,1.0,0.55,0.73,1.0,1.0,0.7381,0.6753,0.6267,0.51
